"174683","102000543","17","2021-02-26 17:13:30","Punto de Retiro Registrado, paquete no se Retiro","21"
"174761","96002502","17","2021-02-27 08:43:53","Punto de Retiro Registrado, paquete no se Retiro","4"
"174774","99006090","7","2021-02-27 10:08:02","Punto de Entrega Registrado, paquete no se Entrego","3"
"174779","99005841","17","2021-02-27 10:34:54","Punto de Retiro Registrado, paquete no se Retiro","4"
"174783","96002495","17","2021-02-27 10:52:34","Punto de Retiro Registrado, paquete no se Retiro","4"
"174793","87028877","17","2021-02-27 11:16:04","Punto de Retiro Registrado, paquete no se Retiro","4"
"174794","87028868","7","2021-02-27 11:21:16","Punto de Entrega Registrado, paquete no se Entrego","20"
"174802","87028863","7","2021-02-27 11:40:53","Punto de Entrega Registrado, paquete no se Entrego","3"
"174803","87028863-R","17","2021-02-27 11:41:03","Punto de Retiro Registrado, paquete no se Retiro","4"
"174804","96002507","17","2021-02-27 11:53:35","Punto de Retiro Registrado, paquete no se Retiro","4"
"174816","87028842","17","2021-02-27 12:23:37","Punto de Retiro Registrado, paquete no se Retiro","4"
"174819","87028838","17","2021-02-27 12:40:04","Punto de Retiro Registrado, paquete no se Retiro","4"
"174845","87028867","7","2021-02-27 14:58:35","Punto de Entrega Registrado, paquete no se Entrego","3"
"174846","87028867-R","17","2021-02-27 14:58:49","Punto de Retiro Registrado, paquete no se Retiro","4"
"174850","87028885","17","2021-02-27 15:28:35","Punto de Retiro Registrado, paquete no se Retiro","4"
"174851","99005851","17","2021-02-27 15:37:23","Punto de Retiro Registrado, paquete no se Retiro","4"
"175130","87028867","7","2021-03-01 11:20:25","Punto de Entrega Registrado, paquete no se Entrego","3"
"175131","87028867-R","17","2021-03-01 11:20:36","Punto de Retiro Registrado, paquete no se Retiro","4"
"175138","99006116","17","2021-03-01 11:37:11","Punto de Retiro Registrado, paquete no se Retiro","4"
"175262","99006128","17","2021-03-01 12:52:30","Punto de Retiro Registrado, paquete no se Retiro","4"
"175332","102000570","7","2021-03-01 13:06:21","Punto de Entrega Registrado, paquete no se Entrego","3"
"175326","99006102","17","2021-03-01 12:54:49","Punto de Retiro Registrado, paquete no se Retiro","4"
"175422","99006000","7","2021-03-01 13:40:41","Punto de Entrega Registrado, paquete no se Entrego","3"
"175423","99006000-R","17","2021-03-01 13:40:48","Punto de Retiro Registrado, paquete no se Retiro","4"
"175734","102000594","7","2021-03-01 15:27:25","Punto de Entrega Registrado, paquete no se Entrego","3"
"175736","102000604","7","2021-03-01 15:27:47","Punto de Entrega Registrado, paquete no se Entrego","3"
"176229","99004767","17","2021-03-02 12:55:19","Punto de Retiro Registrado, paquete no se Retiro","4"
"176315","87028627","17","2021-03-02 14:54:36","Punto de Retiro Registrado, paquete no se Retiro","4"
"176320","99005582","17","2021-03-02 14:57:40","Punto de Retiro Registrado, paquete no se Retiro","4"
"176379","96002425","17","2021-03-02 16:01:50","Punto de Retiro Registrado, paquete no se Retiro","4"
"176484","97016824","7","2021-03-02 19:33:39","Punto de Entrega Registrado, paquete no se Entrego","3"
"176754","102000637","7","2021-03-03 10:15:12","Punto de Entrega Registrado, paquete no se Entrego","20"
"176804","97016788","7","2021-03-03 10:57:15","Punto de Entrega Registrado, paquete no se Entrego","3"
"176873","87028990","17","2021-03-03 11:47:32","Punto de Retiro Registrado, paquete no se Retiro","4"
"176886","97016733","7","2021-03-03 11:58:50","Punto de Entrega Registrado, paquete no se Entrego","3"
"176890","96002417","17","2021-03-03 12:01:53","Punto de Retiro Registrado, paquete no se Retiro","4"
"176893","87029000","17","2021-03-03 12:04:45","Punto de Retiro Registrado, paquete no se Retiro","4"
"176922","97016193","7","2021-03-03 12:28:00","Punto de Entrega Registrado, paquete no se Entrego","3"
"176990","97016789","7","2021-03-03 13:09:09","Punto de Entrega Registrado, paquete no se Entrego","3"
"176997","97016826","17","2021-03-03 13:14:49","Punto de Retiro Registrado, paquete no se Retiro","4"
"176999","97016825","17","2021-03-03 13:15:39","Punto de Retiro Registrado, paquete no se Retiro","4"
"177151","97016837","7","2021-03-03 14:19:15","Punto de Entrega Registrado, paquete no se Entrego","3"
"177280","96002410","17","2021-03-03 15:15:10","Punto de Retiro Registrado, paquete no se Retiro","4"
"177298","99006270-R","17","2021-03-03 15:32:16","Punto de Retiro Registrado, paquete no se Retiro","4"
"177311","87029031","17","2021-03-03 15:55:48","Punto de Retiro Registrado, paquete no se Retiro","4"
"177337","87028988","17","2021-03-03 16:39:47","Punto de Retiro Registrado, paquete no se Retiro","4"
